"152","INTELBRAS S/A - IND DE TEL ELET BRA","256301/03",NULL,"2026-01-28",NULL,NULL,"3458.56","Em aberto","Ref. a NF nº 256301","Importação PDF"
"153","INTELBRAS S/A - IND DE TEL ELET BRA","281542/02",NULL,"2026-01-28",NULL,NULL,"1370.69","Em aberto","Ref. a NF nº 281542","Importação PDF"
"154","INTELBRAS S/A - IND DE TEL ELET BRA","256356/03",NULL,"2026-01-28",NULL,NULL,"8345.01","Em aberto","Ref. a NF nº 256356","Importação PDF"
"155","INTELBRAS S/A - IND DE TEL ELET BRA","281573/02",NULL,"2026-01-28",NULL,NULL,"13834.23","Em aberto","Ref. a NF nº 281573","Importação PDF"
"156","INTELBRAS S/A - IND DE TEL ELET BRA","256295/03",NULL,"2026-01-28",NULL,NULL,"55.33","Em aberto","Ref. a NF nº 256295","Importação PDF"
"157","INTELBRAS S/A - IND DE TEL ELET BRA","283103/02",NULL,"2026-01-29",NULL,NULL,"1580.50","Em aberto","Ref. a NF nº 283103","Importação PDF"
"158","INTELBRAS S/A - IND DE TEL ELET BRA","285855/02",NULL,"2026-02-02",NULL,NULL,"6421.89","Em aberto","Ref. a NF nº 285855","Importação PDF"
"159","INTELBRAS S/A - IND DE TEL ELET BRA","262940/03",NULL,"2026-02-04",NULL,NULL,"1580.50","Em aberto","Ref. a NF nº 262940","Importação PDF"
"160","INTELBRAS S/A - IND DE TEL ELET BRA","264492/03",NULL,"2026-02-05",NULL,NULL,"1580.50","Em aberto","Ref. a NF nº 264492","Importação PDF"
"161","INTELBRAS S/A - IND DE TEL ELET BRA","274074/03",NULL,"2026-02-18",NULL,NULL,"6917.11","Em aberto","Ref. a NF nº 274074","Importação PDF"
"162","INTELBRAS S/A - IND DE TEL ELET BRA","278908/03",NULL,"2026-02-23",NULL,NULL,"1580.50","Em aberto","Ref. a NF nº 278908","Importação PDF"
"163","INTELBRAS S/A - IND DE TEL ELET BRA","280121/03",NULL,"2026-02-23",NULL,NULL,"5425.05","Em aberto","Ref. a NF nº 280121","Importação PDF"
"164","INTELBRAS S/A - IND DE TEL ELET BRA","281542/03",NULL,"2026-02-25",NULL,NULL,"1370.69","Em aberto","Ref. a NF nº 281542","Importação PDF"
"165","INTELBRAS S/A - IND DE TEL ELET BRA","281573/03",NULL,"2026-02-25",NULL,NULL,"13834.24","Em aberto","Ref. a NF nº 281573","Importação PDF"
"166","INTELBRAS S/A - IND DE TEL ELET BRA","283103/03",NULL,"2026-02-26",NULL,NULL,"1580.50","Em aberto","Ref. a NF nº 283103","Importação PDF"
"167","INTELBRAS S/A - IND DE TEL ELET BRA","285855/03",NULL,"2026-03-02",NULL,NULL,"6421.88","Em aberto","Ref. a NF nº 285855","Importação PDF"
"168","INTELBRAS S/A - IND DE TEL ELET BRA","029618/01",NULL,"2025-08-04",NULL,NULL,"3576.47","Pago","Ref. a NF nº 029618","Importação PDF"
"169","INTELBRAS S/A - IND DE TEL ELET BRA","030565/01",NULL,"2025-08-13",NULL,NULL,"2113.31","Pago","Ref. a NF nº 030565","Importação PDF"
"170","INTELBRAS S/A - IND DE TEL ELET BRA","030564/01",NULL,"2025-08-13",NULL,NULL,"61051.11","Pago","Ref. a NF nº 030564","Importação PDF"
"171","INTELBRAS S/A - IND DE TEL ELET BRA","030563/01",NULL,"2025-08-13",NULL,NULL,"7044.35","Pago","Ref. a NF nº 030563","Importação PDF"
